,HGNC_ID,alias_symbol,NCBI_ID,ENSG_ID,gene_symbol,collision,source
42104,14947,AAVS1,54776,ENSG00000125503,PPP1R12C,AAVS1,HGNC
56627,11177,ACAT1,6646,ENSG00000057252,SOAT1,ACAT1,HGNC
56628,11178,ACAT2,8435,ENSG00000167780,SOAT2,ACAT2,HGNC
17689,4319,ACLS,2737,ENSG00000106571,GLI3,ACLS,HGNC
35323,7694,ACP1,4706,ENSG00000004779,NDUFAB1,ACP1,HGNC
549,141,ACTBP2,68,ENSG00000220267,ACTBP8,ACTBP2,HGNC
58559,11531,ADA2,6871,ENSG00000276234,TADA2A,ADA2,HGNC
733,206,ADAM23,10863,ENSG00000042980,ADAM28,ADAM23,HGNC
999,280,ADRA1A,146,ENSG00000171873,ADRA1D,ADRA1A,HGNC
1196,341,AGT,189,ENSG00000172482,AGXT,AGT,HGNC
3622,24114,AIP,54998,ENSG00000175756,AURKAIP1,AIP,HGNC
15413,24674,ALB,85302,ENSG00000188878,FBF1,ALB,HGNC
185,61,AMN,215,ENSG00000101986,ABCD1,AMN,HGNC
63767,12496,ANCR,7337,ENSG00000114062,UBE3A,ANCR,HGNC
10686,28964,ANCR,57291,ENSG00000226950,DANCR,ANCR,HGNC
54743,19375,APC2,79085,ENSG00000125648,SLC25A23,APC2,HGNC
1735,19989,APC2,29882,ENSG00000176248,ANAPC2,APC2,HGNC
2352,24035,APPL,26060,ENSG00000157500,APPL1,APPL,HGNC
2374,640,AQP9,364,ENSG00000165269,AQP7,AQP9,HGNC
15772,3642,AR,2232,ENSG00000161513,FDXR,AR,HGNC
1421,381,AR,231,ENSG00000085662,AKR1B1,AR,HGNC
2414,651,AR,374,ENSG00000109321,AREG,AR,HGNC
36245,7869,ARC,8996,ENSG00000140939,NOL3,ARC,HGNC
59829,19168,ARG1,64129,ENSG00000142910,TINAGL1,ARG1,HGNC
2504,23725,ARHGAP10,57584,ENSG00000107863,ARHGAP21,ARHGAP10,HGNC
1433,382,ARL1,57016,ENSG00000198074,AKR1B10,ARL1,HGNC
39096,16051,ASIP,56288,ENSG00000148498,PARD3,ASIP,HGNC
17352,4232,ATF1,2668,ENSG00000168621,GDNF,ATF1,HGNC
17353,4232,ATF2,2668,ENSG00000168621,GDNF,ATF2,HGNC
2074,21014,ATR,84168,ENSG00000169604,ANTXR1,ATR,HGNC
53395,8985,ATR,390502,ENSG00000258597,SERPINA2,ATR,HGNC
36052,16400,AVP,114548,ENSG00000162711,NLRP3,AVP,HGNC
3739,21727,B3GNT8,146712,ENSG00000175711,B3GNTL1,B3GNT8,HGNC
4616,20473,BACH1,83990,ENSG00000136492,BRIP1,BACH1,HGNC
47124,10061,BAP1,6045,ENSG00000121481,RNF2,BAP1,HGNC
28873,946,BAP1,9223,ENSG00000151276,MAGI1,BAP1,HGNC
3968,977,BCAM,587,ENSG00000105552,BCAT2,BCAM,HGNC
22157,6014,BCGF1,3565,ENSG00000113520,IL4,BCGF1,HGNC
4021,1001,BCL5,604,ENSG00000113916,BCL6,BCL5,HGNC
3838,20252,BCRP1,317687,ENSG00000258531,BANF1P1,BCRP1,HGNC
10788,20224,BCRP2,8816,ENSG00000139990,DCAF5,BCRP2,HGNC
43487,9649,BDP1,26469,ENSG00000072135,PTPN18,BDP1,HGNC
3046,99,BNC1,40,ENSG00000108684,ASIC2,BNC1,HGNC
5135,21114,BRAP,221477,ENSG00000198663,C6orf89,BRAP,HGNC
11312,24902,BRCC3,55789,ENSG00000035499,DEPDC1B,BRCC3,HGNC
22942,6175,BRI3,81618,ENSG00000135916,ITM2C,BRI3,HGNC
4778,1140,BTF3,10384,ENSG00000111801,BTN3A3,BTF3,HGNC
29971,18121,C1QTNF5,83552,ENSG00000235718,MFRP,C1QTNF5,HGNC
5063,1323,C4B,720,ENSG00000244731,C4A,C4B,HGNC
43058,9536,C6,5688,ENSG00000101182,PSMA7,C6,HGNC
10226,10637,C7,3627,ENSG00000169245,CXCL10,C7,HGNC
17631,23217,CA11,56287,ENSG00000169605,GKN1,CA11,HGNC
52367,1436,CABP1,795,ENSG00000169906,S100G,CABP1,HGNC
11362,2773,CAD,1677,ENSG00000169598,DFFB,CAD,HGNC
421,33904,CAD,730249,ENSG00000102794,ACOD1,CAD,HGNC
7992,20311,CAMP,283489,ENSG00000198824,CHAMP1,CAMP,HGNC
42870,9491,CAP1,5652,ENSG00000052344,PRSS8,CAP1,HGNC
53433,8952,CAP2,5271,ENSG00000166401,SERPINB8,CAP2,HGNC
60562,11878,CAP2,56649,ENSG00000137648,TMPRSS4,CAP2,HGNC
5633,1426,CAPS,8618,ENSG00000163618,CADPS,CAPS,HGNC
5638,16018,CAPS2,93664,ENSG00000081803,CADPS2,CAPS2,HGNC
7337,24325,CARF,55602,ENSG00000168564,CDKN2AIP,CARF,HGNC
41500,24219,CAST,10849,ENSG00000117877,POLR1G,CAST,HGNC
14122,31922,CAST,26059,ENSG00000187672,ERC2,CAST,HGNC
62510,17341,CCA1,51095,ENSG00000072756,TRNT1,CCA1,HGNC
398,1565,CCR10,1238,ENSG00000144648,ACKR2,CCR10,HGNC
8920,14099,CCR4,57472,ENSG00000113300,CNOT6,CCR4,HGNC
400,1565,CCR9,1238,ENSG00000144648,ACKR2,CCR9,HGNC
16155,20105,CCT,55640,ENSG00000119686,FLVCR2,CCT,HGNC
16832,24824,CDH1,51343,ENSG00000105325,FZR1,CDH1,HGNC
39446,8711,CDH20,8641,ENSG00000253953,PCDHGB4,CDH20,HGNC
7188,1758,CDH7,28513,ENSG00000071991,CDH19,CDH7,HGNC
7369,33710,CDKN1A,150383,ENSG00000205643,CDPF1,CDKN1A,HGNC
8069,16627,CDS1,11200,ENSG00000183765,CHEK2,CDS1,HGNC
5034,1320,CER1,23739,,C3CER1,CER1,HGNC
7748,1863,CES2,1066,ENSG00000198848,CES1,CES2,HGNC
8056,19057,CHD5,84181,ENSG00000124177,CHD6,CHD5,HGNC
17388,12790,CHD5,7485,ENSG00000182093,GET1,CHD5,HGNC
11025,2736,CHL1,1663,ENSG00000013573,DDX11,CHL1,HGNC
8172,14525,CHP1,26973,ENSG00000110172,CHORDC1,CHP1,HGNC
54669,10979,CIC,6576,ENSG00000100075,SLC25A1,CIC,HGNC
23978,6349,CKLF,688,ENSG00000102554,KLF5,CKLF,HGNC
52644,19065,CLA3,0,,SCAR6,CLA3,HGNC
8471,17412,CLC,23529,ENSG00000175505,CLCF1,CLC,HGNC
10824,24627,CLCP1,131566,ENSG00000057019,DCBLD2,CLCP1,HGNC
8645,2065,CLIC5,54102,ENSG00000159212,CLIC6,CLIC5,HGNC
63610,12462,CLIP4,53347,ENSG00000160185,UBASH3A,CLIP4,HGNC
42210,9314,CNA1,5530,ENSG00000138814,PPP3CA,CNA1,HGNC
36527,7941,CNP,4880,ENSG00000163273,NPPC,CNP,HGNC
39355,8662,CNR1,56117,,PCDHA@,CNR1,HGNC
39359,8670,CNR1,56144,ENSG00000204967,PCDHA4,CNR1,HGNC
39367,8672,CNR2,56142,ENSG00000081842,PCDHA6,CNR2,HGNC
9041,18621,COD2,57511,ENSG00000133103,COG6,COD2,HGNC
5858,33701,COP,114769,ENSG00000204397,CARD16,COP,HGNC
5857,33701,COP1,114769,ENSG00000204397,CARD16,COP1,HGNC
9378,15740,CPA3,51200,ENSG00000128510,CPA4,CPA3,HGNC
10438,2610,CPA6,1548,ENSG00000255974,CYP2A6,CPA6,HGNC
20510,17513,CPD,9455,ENSG00000103942,HOMER2,CPD,HGNC
10548,2591,CPN1,1584,ENSG00000160882,CYP11B1,CPN1,HGNC
9419,2314,CPN1,8904,ENSG00000214078,CPNE1,CPN1,HGNC
9420,2315,CPN2,221184,ENSG00000140848,CPNE2,CPN2,HGNC
10550,2592,CPN2,1585,ENSG00000179142,CYP11B2,CPN2,HGNC
10568,2600,CPS1,1589,ENSG00000231852,CYP21A2,CPS1,HGNC
9528,18854,CREB3,148327,ENSG00000143578,CREB3L4,CREB3,HGNC
8956,24546,CRIP1,25927,ENSG00000119865,CNRIP1,CRIP1,HGNC
41848,9264,CRP,140913,ENSG00000224530,PPIAP10,CRP,HGNC
9187,30747,CSN2,9318,ENSG00000166200,COPS2,CSN2,HGNC
9189,2239,CSN3,8533,ENSG00000141030,COPS3,CSN3,HGNC
9795,2459,CSNK2A1,1459,ENSG00000070770,CSNK2A2,CSNK2A1,HGNC
9874,2482,CST6,1476,ENSG00000160213,CSTB,CST6,HGNC
9438,25632,CSTP1,55313,ENSG00000103381,CPPED1,CSTP1,HGNC
2659,33846,CTAGE4,445328,ENSG00000213214,ARHGEF35,CTAGE4,HGNC
64935,17149,CTH,23584,ENSG00000019102,VSIG2,CTH,HGNC
10439,2610,CYP2A,1548,ENSG00000255974,CYP2A6,CYP2A,HGNC
10445,2608,CYP2A,1553,ENSG00000197838,CYP2A13,CYP2A,HGNC
10440,2611,CYP2A,1549,ENSG00000198077,CYP2A7,CYP2A,HGNC
2105,80,DAO,26,ENSG00000002726,AOC1,DAO,HGNC
21094,5329,DAP,3375,ENSG00000121351,IAPP,DAP,HGNC
12237,2981,DAP,23549,ENSG00000123992,DNPEP,DAP,HGNC
11788,30368,DAP3,58512,ENSG00000116544,DLGAP3,DAP3,HGNC
62957,1158,DBI,706,ENSG00000100300,TSPO,DBI,HGNC
17235,4187,DBP,2638,ENSG00000145321,GC,DBP,HGNC
20751,5213,DBP,3295,ENSG00000133835,HSD17B4,DBP,HGNC
10932,18985,DCR,51181,ENSG00000169738,DCXR,DCR,HGNC
11155,2765,DEF6,1671,ENSG00000164822,DEFA6,DEF6,HGNC
11147,32231,DEFA1,613253,,DEFA1A3,DEFA1,HGNC
11148,32231,DEFA3,613253,,DEFA1A3,DEFA3,HGNC
11201,18091,DEFB111,245913,ENSG00000203970,DEFB110,DEFB111,HGNC
11149,32231,DEFT1P,613253,,DEFA1A3,DEFT1P,HGNC
9695,2418,DFNA40,1428,ENSG00000103316,CRYM,DFNA40,HGNC
11634,2680,DIO1,11083,ENSG00000101191,DIDO1,DIO1,HGNC
11730,2899,DLC1,9940,ENSG00000008226,DLEC1,DLC1,HGNC
12826,15476,DLC1,8655,ENSG00000088986,DYNLL1,DLC1,HGNC
11794,16864,DLG1,9787,ENSG00000126787,DLGAP5,DLG1,HGNC
19843,15736,DMC1,283987,ENSG00000167861,HID1,DMC1,HGNC
11872,14603,DMP1,9988,ENSG00000135164,DMTF1,DMP1,HGNC
11952,2953,DNAL1,1770,ENSG00000007174,DNAH9,DNAL1,HGNC
2925,726,DOK1,420,ENSG00000111339,ART4,DOK1,HGNC
14073,21295,DRC3,54869,ENSG00000131037,EPS8L1,DRC3,HGNC
35244,7679,DRG1,10397,ENSG00000104419,NDRG1,DRG1,HGNC
12446,3014,DRP2,1808,ENSG00000092964,DPYSL2,DRP2,HGNC
12505,3037,DSC1,1825,ENSG00000134762,DSC3,DSC1,HGNC
12506,3037,DSC2,1825,ENSG00000134762,DSC3,DSC2,HGNC
12666,3067,DUSP1,11266,ENSG00000081721,DUSP12,DUSP1,HGNC
43445,26965,DUSP23,114971,ENSG00000110536,PTPMT1,DUSP23,HGNC
12695,33237,DUSP26,285193,ENSG00000188542,DUSP28,DUSP26,HGNC
11831,18291,EAF2,55929,ENSG00000178028,DMAP1,EAF2,HGNC
53771,30418,EBP,152503,ENSG00000109686,SH3D19,EBP,HGNC
17644,4298,EBP,2720,ENSG00000170266,GLB1,EBP,HGNC
53155,10845,ECD,7979,ENSG00000127922,SEM1,ECD,HGNC
13387,3265,EIF2A,1965,ENSG00000134001,EIF2S1,EIF2A,HGNC
13691,28691,ELF1,84337,ENSG00000130165,ELOF1,ELF1,HGNC
55454,40032,ELN,100130933,ENSG00000259120,SMIM6,ELN,HGNC
59821,11820,EPO,7076,ENSG00000102265,TIMP1,EPO,HGNC
14088,3423,EPO,8288,ENSG00000121053,EPX,EPO,HGNC
17399,4236,ERV1,2671,ENSG00000127554,GFER,ERV1,HGNC
8787,2121,ERV1,1240,ENSG00000174600,CMKLR1,ERV1,HGNC
14653,3514,EXT2,0,,EXT3,EXT2,HGNC
14676,3527,EZH1,2146,ENSG00000106462,EZH2,EZH1,HGNC
66620,12948,F11,90338,ENSG00000170949,ZNF160,F11,HGNC
66618,12944,F11,0,,ZNF159,F11,HGNC
8968,2171,F3,1272,ENSG00000018236,CNTN1,F3,HGNC
11798,2907,FA1,8788,ENSG00000185559,DLK1,FA1,HGNC
14722,21197,FAAH,79152,ENSG00000103089,FA2H,FAAH,HGNC
14745,31059,FABP5,387934,ENSG00000236972,FABP5P1,FABP5,HGNC
503,3569,FACL1,2180,ENSG00000151726,ACSL1,FACL1,HGNC
14783,3574,FADS6,3992,ENSG00000149485,FADS1,FADS6,HGNC
15315,3582,FAH,2175,ENSG00000187741,FANCA,FAH,HGNC
15371,3594,FAS,2194,ENSG00000169710,FASN,FAS,HGNC
23686,6316,FBP2,8570,ENSG00000088247,KHSRP,FBP2,HGNC
10001,2498,FCP1,9150,ENSG00000060069,CTDP1,FCP1,HGNC
15748,26431,FCRL2,127943,ENSG00000162746,FCRLB,FCRL2,HGNC
921,17416,FEB4,84059,ENSG00000164199,ADGRV1,FEB4,HGNC
15790,16933,FEM1A,56929,ENSG00000145780,FEM1C,FEM1A,HGNC
28679,13861,FEZ1,11178,ENSG00000061337,LZTS1,FEZ1,HGNC
15893,3670,FGF2,2258,ENSG00000129682,FGF13,FGF2,HGNC
7897,4883,FHL1,3075,ENSG00000000971,CFH,FHL1,HGNC
20631,23824,FHL1,0,,HPLH1,FHL1,HGNC
16083,18169,FKBP6,60681,ENSG00000141756,FKBP10,FKBP6,HGNC
16050,3712,FKBP9,2281,ENSG00000119782,FKBP1B,FKBP9,HGNC
15919,3688,FLG,2260,ENSG00000077782,FGFR1,FLG,HGNC
15970,3701,FRA3B,2272,ENSG00000189283,FHIT,FRA3B,HGNC
16189,3775,FRAXA,2332,ENSG00000102081,FMR1,FRAXA,HGNC
1043,3776,FRAXE,2334,ENSG00000155966,AFF2,FRAXE,HGNC
16827,4047,FZD3,8326,ENSG00000188763,FZD9,FZD3,HGNC
40472,15791,GAB1,128869,ENSG00000101464,PIGU,GAB1,HGNC
16941,31960,GAGE8,26749,ENSG00000275113,GAGE2E,GAGE8,HGNC
16940,31959,GAGE8,729408,,GAGE2D,GAGE8,HGNC
17015,24840,GAL,85569,ENSG00000197487,GALP,GAL,HGNC
16966,24144,GAL3ST2,89792,ENSG00000175229,GAL3ST3,GAL3ST2,HGNC
17009,30488,GALNT15,374378,ENSG00000110328,GALNT18,GALNT15,HGNC
17012,33844,GALNT17,442117,ENSG00000174473,GALNTL6,GALNT17,HGNC
16998,21531,GALNT7,117248,ENSG00000131386,GALNT15,GALNT7,HGNC
8861,2151,GAR1,1258,ENSG00000070729,CNGB1,GAR1,HGNC
29096,6864,GCK,5871,ENSG00000168067,MAP4K2,GCK,HGNC
29105,6867,GCKR,11183,ENSG00000012983,MAP4K5,GCKR,HGNC
34692,43444,GCOM1,100820829,ENSG00000263155,MYZAP,GCOM1,HGNC
54721,10986,GDA,8034,ENSG00000122912,SLC25A16,GDA,HGNC
4945,14324,GIP,114897,ENSG00000173918,C1QTNF1,GIP,HGNC
17851,4385,GIP,2771,ENSG00000114353,GNAI2,GIP,HGNC
17613,19147,GJA11,125111,ENSG00000183153,GJD3,GJA11,HGNC
16971,4119,GK2,2585,ENSG00000156958,GALK2,GK2,HGNC
34931,18069,GLA,9027,ENSG00000144035,NAT8,GLA,HGNC
17752,29570,GLS,27165,ENSG00000135423,GLS2,GLS,HGNC
18527,4581,GLUR7,2899,ENSG00000163873,GRIK3,GLUR7,HGNC
18590,4599,GLUR7,2917,ENSG00000196277,GRM7,GLUR7,HGNC
18064,24766,GOT1,127845,ENSG00000174567,GOLT1A,GOT1,HGNC
18068,20175,GOT1,51026,ENSG00000111711,GOLT1B,GOT1,HGNC
18957,4703,GPB,2994,ENSG00000250361,GYPB,GPB,HGNC
17933,4417,GPI,10007,ENSG00000113552,GNPDA1,GPI,HGNC
12309,2995,GPT,1798,ENSG00000172269,DPAGT1,GPT,HGNC
18436,4559,GPX6,2882,ENSG00000116157,GPX7,GPX6,HGNC
18400,24835,GRIN1,114787,ENSG00000169258,GPRIN1,GRIN1,HGNC
35134,7669,GRIP1,10499,ENSG00000140396,NCOA2,GRIP1,HGNC
25147,15788,GRIP1,85329,ENSG00000133317,LGALS12,GRIP1,HGNC
63913,25205,GRP,221044,ENSG00000165623,UCMA,GRP,HGNC
25154,25012,GRP,29094,ENSG00000119862,LGALSL,GRP,HGNC
61433,29169,GSG1,22878,ENSG00000153339,TRAPPC8,GSG1,HGNC
2219,587,HAP1,328,ENSG00000100823,APEX1,HAP1,HGNC
20315,26785,HAS1,283460,ENSG00000241388,HNF1A-AS1,HAS1,HGNC
28217,6697,HBM,4041,ENSG00000162337,LRP5,HBM,HGNC
10355,24416,HCP5,360158,ENSG00000227735,CYCSP5,HCP5,HGNC
6938,24235,HCRTR2,131450,ENSG00000163606,CD200R1,HCRTR2,HGNC
19668,21041,HDC,51696,ENSG00000112406,HECA,HDC,HGNC
17197,1273,HES1,8209,ENSG00000160221,GATD3,HES1,HGNC
56725,11187,HGF,6654,ENSG00000115904,SOS1,HGF,HGNC
22169,6018,HGF,3569,ENSG00000136244,IL6,HGF,HGNC
20522,19884,HK1,51361,ENSG00000134709,HOOK1,HK1,HGNC
23263,6222,HK1,3739,ENSG00000182255,KCNA4,HK1,HGNC
20523,19885,HK2,29911,ENSG00000095066,HOOK2,HK2,HGNC
23267,6224,HK2,3741,ENSG00000130037,KCNA5,HK2,HGNC
23744,6318,HK2,3796,ENSG00000068796,KIF2A,HK2,HGNC
20524,23576,HK3,84376,ENSG00000168172,HOOK3,HK3,HGNC
19789,4886,HLA-H,3077,ENSG00000010704,HFE,HLA-H,HGNC
13936,3374,HLF,2034,ENSG00000116016,EPAS1,HLF,HGNC
11722,2897,HP,10395,ENSG00000164741,DLC1,HP,HGNC
5535,1388,HPCA,773,ENSG00000141837,CACNA1A,HPCA,HGNC
66517,13158,HPF1,55769,ENSG00000167766,ZNF83,HPF1,HGNC
60067,11867,HPP1,23671,ENSG00000144339,TMEFF2,HPP1,HGNC
33532,7438,HPR,0,,MT-HPR,HPR,HGNC
36713,7997,HRG,3084,ENSG00000157168,NRG1,HRG,HGNC
11562,2749,HRH1,1659,ENSG00000067596,DHX8,HRH1,HGNC
11569,2738,HRH2,1665,ENSG00000109606,DHX15,HRH2,HGNC
20759,28120,HSD17B7,158160,ENSG00000099251,HSD17B7P2,HSD17B7,HGNC
17908,4413,HSR1,2794,ENSG00000204590,GNL1,HSR1,HGNC
5793,1482,HTRA3,726,ENSG00000149260,CAPN5,HTRA3,HGNC
53098,10717,IBD2,6400,ENSG00000071537,SEL1L,IBD2,HGNC
21290,5417,IFNA13,3439,ENSG00000197919,IFNA1,IFNA13,HGNC
16289,3800,IHG1,2296,ENSG00000054598,FOXC1,IHG1,HGNC
23487,6293,IK,3783,ENSG00000104783,KCNN4,IK,HGNC
63424,30685,IL14,200081,ENSG00000084652,TXLNA,IL14,HGNC
34429,16948,IL25,56005,ENSG00000074842,MYDGF,IL25,HGNC
22270,5984,IL27,53342,ENSG00000172458,IL17D,IL27,HGNC
21455,28868,IMP3,10643,ENSG00000136231,IGF2BP3,IMP3,HGNC
57259,30227,IMP3,84888,ENSG00000138600,SPPL2A,IMP3,HGNC
57261,30627,IMP4,56928,ENSG00000005206,SPPL2B,IMP4,HGNC
56946,25184,IQCH,128153,ENSG00000162814,SPATA17,IQCH,HGNC
43928,19983,ISY1,339122,ENSG00000172780,RAB43,ISY1,HGNC
56788,14530,KLF14,80320,ENSG00000189120,SP6,KLF14,HGNC
24043,15646,KLHL6,55975,ENSG00000122550,KLHL7,KLHL6,HGNC
24258,6399,KPNA7,23633,ENSG00000025800,KPNA6,KPNA7,HGNC
24611,23604,KRTAP5-1,3846,ENSG00000254997,KRTAP5-9,KRTAP5-1,HGNC
24603,23601,KRTAP5-11,439915,ENSG00000185940,KRTAP5-5,KRTAP5-11,HGNC
24609,23603,KRTAP5-2,57830,ENSG00000241233,KRTAP5-8,KRTAP5-2,HGNC
24606,23602,KRTAP5-3,440050,ENSG00000244411,KRTAP5-7,KRTAP5-3,HGNC
24614,23606,KRTAP5-6,440051,ENSG00000204571,KRTAP5-11,KRTAP5-6,HGNC
24598,23597,KRTAP5-8,440021,ENSG00000205867,KRTAP5-2,KRTAP5-8,HGNC
24600,23598,KRTAP5-9,387266,ENSG00000196224,KRTAP5-3,KRTAP5-9,HGNC
8880,19701,KSR2,22866,ENSG00000149970,CNKSR2,KSR2,HGNC
24800,6484,LAMA3,3910,ENSG00000112769,LAMA4,LAMA3,HGNC
57225,30621,LAT,83985,ENSG00000169682,SPNS1,LAT,HGNC
54383,11066,LAT2,23428,ENSG00000092068,SLC7A8,LAT2,HGNC
55494,1340,LBH,221491,ENSG00000186577,SMIM29,LBH,HGNC
61018,20161,LCP1,9878,ENSG00000092203,TOX4,LCP1,HGNC
25022,6533,LDB1,9079,ENSG00000169744,LDB2,LDB1,HGNC
13385,6583,LGTN,1939,ENSG00000143486,EIF2D,LGTN,HGNC
28180,17360,LIG1,26018,ENSG00000144749,LRIG1,LIG1,HGNC
52750,18395,LIPA,10648,ENSG00000168515,SCGB1D1,LIPA,HGNC
52753,18396,LIPB,10647,ENSG00000124935,SCGB1D2,LIPB,HGNC
28047,21610,LNP1,80856,ENSG00000144320,LNPK,LNP1,HGNC
24751,16899,LRE3,0,,L1RE3,LRE3,HGNC
4846,29911,LRP1,10438,ENSG00000197223,C1D,LRP1,HGNC
34987,7648,LYST2,26960,ENSG00000172915,NBEA,LYST2,HGNC
6916,1631,M130,9332,ENSG00000177575,CD163,M130,HGNC
42092,7618,M130,4659,ENSG00000058272,PPP1R12A,M130,HGNC
14467,3481,MADD,2108,ENSG00000140374,ETFA,MADD,HGNC
24146,6380,MAFA,10219,ENSG00000139187,KLRG1,MAFA,HGNC
14130,3434,MAG,2068,ENSG00000104884,ERCC2,MAG,HGNC
28785,19340,MAGEA2,266740,ENSG00000183305,MAGEA2B,MAGEA2,HGNC
1628,17574,MAK,57538,ENSG00000136383,ALPK3,MAK,HGNC
33292,14334,MAL,57591,ENSG00000196588,MRTFA,MAL,HGNC
29870,15789,MAP1A,23173,ENSG00000164024,METAP1,MAP1A,HGNC
29875,16672,MAP2,10988,ENSG00000111142,METAP2,MAP2,HGNC
41233,9119,MAS1,9512,ENSG00000105819,PMPCB,MAS1,HGNC
8453,17088,MAST1,23332,ENSG00000074054,CLASP1,MAST1,HGNC
42482,9362,MBP,5553,ENSG00000186652,PRG2,MBP,HGNC
